gentime,NeAnc,td,lambda,maxn,sampn,data,model,scheme,Nch,Nhh,Th,lnLh,AICh
g1,n10e4,td100,l99,n500,n100,rad10k,bot,t0,8608.51777,10,13060.83308,-7951.668704,15909.33741
g1,n10e4,td100,l99,n500,n100,rad10k,bot,t0t120,7443.509118,10,11278.69458,-12349.97183,24705.94365
g1,n10e4,td100,l99,n500,n100,rad10k,bot,all,8934.328511,10,12197.71232,-20404.95253,40815.90506
g1,n10e4,td100,l99,n500,n100,rad10k,bot,t0,8767.259543,15.29708349,12065.4499,-7809.392746,15624.78549
g1,n10e4,td100,l99,n500,n100,rad10k,bot,t0t120,7377.86793,41.63012122,10025.45011,-12319.8806,24645.7612
g1,n10e4,td100,l99,n500,n100,rad10k,bot,all,8912.020164,1101.293233,8599.381836,-20178.11909,40362.23818
g1,n10e4,td100,l99,n500,n100,rad50k,bot,t0,8797.158306,10,12302.03091,-39352.98632,78711.97263
g1,n10e4,td100,l99,n500,n100,rad50k,bot,t0t120,7877.290266,10,10522.06755,-61846.55069,123699.1014
g1,n10e4,td100,l99,n500,n100,rad50k,bot,all,8936.837658,140.3668148,10981.71296,-101748.9827,203503.9655
g1,n10e4,td100,l99,n500,n100,rad50k,bot,t0,8949.885176,10,12381.10572,-39891.84769,79789.69539
g1,n10e4,td100,l99,n500,n100,rad50k,bot,t0t120,7421.229965,10,10103.53636,-62630.6335,125267.267
g1,n10e4,td100,l99,n500,n100,rad50k,bot,all,8639.150192,10,10974.73148,-102745.7001,205497.4001
g1,n10e4,td100,l99,n500,n100,rad50k,bot,t0,8685.899376,71.07223528,12759.87412,-39577.11844,79160.23688
g1,n10e4,td100,l99,n500,n100,rad50k,bot,t0t120,7573.625776,10,11058.7404,-62295.67146,124597.3429
g1,n10e4,td100,l99,n500,n100,rad50k,bot,all,8587.59716,215.5048517,11320.73203,-102304.4636,204614.9273
g1,n10e4,td100,l99,n500,n100,rad50k,bot,t0,8899.603339,10,12745.42753,-40113.19014,80232.38028
g1,n10e4,td100,l99,n500,n100,rad50k,bot,t0t120,7919.254694,10,10931.34708,-62892.22927,125790.4585
g1,n10e4,td100,l99,n500,n100,rad50k,bot,all,8875.545587,27.97590243,11619.59726,-103128.7348,206263.4696
g1,n10e4,td100,l99,n500,n100,rad50k,bot,t0,8891.970064,10,13054.86382,-40457.85744,80921.71488
g1,n10e4,td100,l99,n500,n100,rad50k,bot,t0t120,7547.899632,10,10795.33953,-63788.86632,127583.7326
g1,n10e4,td100,l99,n500,n100,rad50k,bot,all,8985.986083,10,11883.21124,-104640.7672,209287.5345
g1,n10e4,td100,l99,n500,n100,wgs,bot,t0,8801.531215,19.43211003,12623.74316,-4003872.942,8007751.884
g1,n10e4,td100,l99,n500,n100,wgs,bot,t0t120,7631.253391,10,10717.49495,-6289881.461,12579768.92
g1,n10e4,td100,l99,n500,n100,wgs,bot,all,8782.366674,166.5330167,11217.95989,-10304726.19,20609458.37
g1,n10e4,td100,l99,n500,n100,wgs,bot,t0,10252.63002,112.5464382,17438.47243,-4023162.403,8046330.806
g1,n10e4,td100,l99,n500,n100,wgs,bot,t0t120,7735.976896,10.79967453,10798.15213,-6315658.823,12631323.65
g1,n10e4,td100,l99,n500,n100,wgs,bot,all,8747.281682,10,11519.71642,-10343077.85,20686161.71
g1,n10e4,td100,l99,n500,n100,wgs,bot,t0,8815.498366,10,12667.94343,-4013014.959,8026035.918
g1,n10e4,td100,l99,n500,n100,wgs,bot,t0t120,7764.564068,15.18016652,10785.13866,-6309106.623,12618219.25
g1,n10e4,td100,l99,n500,n100,wgs,bot,all,8970.232085,10,11692.80603,-10336465.94,20672937.88
g1,n10e4,td100,l99,n500,n100,wgs,bot,t0,8762.779765,10,12671.23958,-3999143.766,7998293.533
g1,n10e4,td100,l99,n500,n100,wgs,bot,t0t120,7681.449257,252.2107998,10274.42742,-6281576.273,12563158.55
g1,n10e4,td100,l99,n500,n100,wgs,bot,all,8746.125296,10,11529.7447,-10307707.88,20615421.75
g1,n10e4,td100,l99,n500,n100,wgs,bot,t0,8805.371954,10,12686.8921,-4012322.518,8024651.036
g1,n10e4,td100,l99,n500,n100,wgs,bot,t0t120,7601.10012,10,10696.99651,-6310925.495,12621856.99
g1,n10e4,td100,l99,n500,n100,wgs,bot,all,8721.671195,10,11496.55279,-10349437.92,20698881.84
g1,n10e4,td100,l99,n500,n20,wgs,bot,t0,9370.509041,13.74555789,12323.72509,-1771911.844,3543829.688
g1,n10e4,td100,l99,n500,n20,wgs,bot,t0t120,9611.163743,261.1983749,11607.04939,-2737406.27,5474818.54
g1,n10e4,td100,l99,n500,n20,wgs,bot,all,9746.591138,33.77233661,12132.57497,-4430297.47,8860600.94
g1,n10e4,td100,l99,n500,n20,wgs,bot,t0,9248.781476,10,12360.33814,-1763989.142,3527984.284
g1,n10e4,td100,l99,n500,n20,wgs,bot,t0t120,9584.354257,555.7926399,10971.06515,-2726316.676,5452639.353
g1,n10e4,td100,l99,n500,n20,wgs,bot,all,9691.226355,32.55071585,12112.4543,-4411607.909,8823221.818
g1,n10e4,td100,l99,n500,n20,wgs,bot,t0,9289.463601,10,12363.49213,-1767995.447,3535996.893
g1,n10e4,td100,l99,n500,n20,wgs,bot,t0t120,9595.683074,348.0399626,11413.47516,-2740630.324,5481266.648
g1,n10e4,td100,l99,n500,n20,wgs,bot,all,9714.848853,37.59345175,12137.20795,-4432625.955,8865257.911
g1,n10e4,td100,l99,n500,n20,wgs,bot,t0,9332.228642,10,12386.88821,-1772924.174,3545854.348
g1,n10e4,td100,l99,n500,n20,wgs,bot,t0t120,9698.601408,498.3581144,11100.93697,-2742421.459,5484848.918
g1,n10e4,td100,l99,n500,n20,wgs,bot,all,9685.595656,31.40572917,12143.22815,-4428811.645,8857629.289
g1,n10e4,td100,l99,n500,n20,wgs,bot,t0,9238.886546,32.47514182,12366.75203,-1763098.043,3526202.085
g1,n10e4,td100,l99,n500,n20,wgs,bot,t0t120,9528.419235,262.6848206,11590.98692,-2729038.131,5458082.262
g1,n10e4,td100,l99,n500,n20,wgs,bot,all,9765.451206,762.4777834,10519.84736,-4416491.598,8832989.195
