gentime,NeAnc,td,lambda,sampn,data,Model,scheme,Neh,Nec,lnL,AIC_cons,Neh_change,Nec_change,T,lnL_change,AIC_change,delta
g3,n10e4,td100,l99,n100,rad50k,Constant,all,9727.382154,9727.382154,-172161.4354,344324.8708,9881.638164,1635.137951,119.9485607,-172108.5534,344223.1067,101.7641
g3,n10e4,td100,l99,n100,wgs,Constant,all,9796.217873,9796.217873,-17412040.1,34824082.2,9898.161555,2644.519213,106.5792413,-17409584.07,34819174.15,4908.05
g3,n10e4,td100,l99,n100,wgs,Constant,all,9763.187975,9763.187975,-17401423.66,34802849.32,9917.63864,1700.826254,119.4840516,-17396615.07,34793236.14,9613.18
g3,n10e4,td100,l99,n100,wgs,Constant,all,9693.222966,9693.222966,-17357483.82,34714969.64,9843.889926,1685.856214,119.6066918,-17352525.07,34705056.15,9913.49
g3,n10e4,td100,l99,n100,wgs,Constant,all,9747.991563,9747.991563,-17370962.07,34741926.14,9867.666112,2085.662373,118.5132011,-17367652.89,34735311.79,6614.35
g3,n10e4,td100,l99,n100,wgs,Constant,all,9786.108085,9786.108085,-17434340.15,34868682.3,9919.550415,1889.690464,119.9731938,-17430359.93,34860725.86,7956.44
g3,n10e4,td100,l99,n200,rad10k,Constant,all,8953.918803,8953.918803,-43529.64932,87061.29864,9486.75488,1842.28389,117.6784176,-43499.52843,87005.05686,56.24178
g3,n10e4,td100,l99,n200,rad10k,Constant,all,9006.212753,9006.212753,-43494.9782,86991.95641,9489.160361,2079.261228,119.9927394,-43469.21548,86944.43096,47.52545
g3,n10e4,td100,l99,n200,rad10k,Constant,all,8703.786214,8703.786214,-44564.35465,89130.70929,9444.532761,1367.682848,119.9627015,-44505.50651,89017.01302,113.69627
g3,n10e4,td100,l99,n200,rad10k,Constant,all,9031.440928,9031.440928,-44284.75563,88571.51125,9439.871244,2268.764515,119.9836791,-44264.56638,88535.13276,36.37849
g3,n10e4,td100,l99,n200,rad10k,Constant,all,8982.938346,8982.938346,-44884.82058,89771.64117,9564.728085,1784.587633,119.6773188,-44847.90447,89701.80895,69.83222
g3,n10e4,td100,l99,n200,rad50k,Constant,all,9094.918601,9094.918601,-220222.5271,440447.0543,9481.389195,2704.129043,110.0509254,-220139.6343,440285.2686,161.7857
g3,n10e4,td100,l99,n200,rad50k,Constant,all,8736.790985,8736.790985,-217318.785,434639.5701,9324.061297,1764.928012,117.9335647,-217142.8528,434291.7057,347.8644
g3,n10e4,td100,l99,n200,rad50k,Constant,all,8920.600709,8920.600709,-218897.3871,437796.7742,9403.510494,2105.726206,119.9806698,-218774.3583,437554.7165,242.0577
g3,n10e4,td100,l99,n200,rad50k,Constant,all,8940.03382,8940.03382,-218992.2376,437986.4752,9433.52195,2042.424692,119.9758938,-218860.431,437726.862,259.6132
g3,n10e4,td100,l99,n200,rad50k,Constant,all,9021.293608,9021.293608,-220581.7092,441165.4183,9499.984428,2070.415727,119.9766584,-220453.9113,440913.8226,251.5957
g3,n10e4,td100,l99,n20,wgs,Constant,all,10059.30738,10059.30738,-8526186.706,17052375.41,10052.51717,67639.31015,64.22755928,-8526170.28,17052346.56,28.85
g3,n10e4,td100,l99,n20,wgs,Constant,all,10017.00537,10017.00537,-8547633.538,17095269.08,10031.36676,3476.321116,64.17206079,-8547494.876,17094995.75,273.33
g3,n10e4,td100,l99,n20,wgs,Constant,all,9986.231506,9986.231506,-8522944.627,17045891.25,9983.839913,14315.28996,63.98163887,-8522942.366,17045890.73,0.52
g3,n10e4,td100,l99,n20,wgs,Constant,all,9980.865473,9980.865473,-8484364.317,16968730.63,9987.943735,3623.833523,117.514135,-8484340.192,16968686.38,44.25
g3,n10e4,td100,l99,n20,wgs,Constant,all,10028.04621,10028.04621,-8543853.796,17087709.59,10061.3284,890.0397867,114.9292485,-8543366.568,17086739.14,970.45
g3,n10e4,td100,l99,n50,rad10k,Constant,all,9911.627665,9911.627665,-26226.26068,52454.52135,9941.072797,4899.756321,46.74949841,-26225.15528,52456.31056,-1.78921
g3,n10e4,td100,l99,n50,rad10k,Constant,all,9934.759406,9934.759406,-25793.35555,51588.7111,9951.811672,6012.806996,47.36867559,-25792.85207,51591.70415,-2.99305
