gentime,NeAnc,td,lambda,maxn,sampn,data,model,scheme,Nh,Nc,Na,T,Ta,lnL,AIC2C,Nh1C,Nc1C,T1C,lnL1C,AIC1C,NhC,NcC,lnL,AICC,AIC2C-AIC1C,AIC2C-AICC
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10051.08823,11542.38435,100823.567,92.00559707,10196.39808,-46660656.54,93321323.08,65797.80763,427.6768115,29.11748249,-48120607,96241220.01,64286.0444,64286.0444,-48275363.05,96550728.09,-2919896.925,-3229405.009
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,9951.525508,13060.00781,101039.6578,107.7679981,10129.0172,-82672540.2,165345090.4,65323.05319,22768.80717,29.48752439,-84170541.94,168341089.9,65029.57228,65029.57228,-84242764.23,168485530.5,-2995999.486,-3140440.064
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,9894.035577,12638.60025,102146.5338,13.05615717,10339.4915,-71687.21617,143384.4323,71889.94039,78.26214006,119.9094878,-73280.60209,146567.2042,64596.9305,64596.9305,-76161.73188,152325.4638,-3182.771841,-8941.031408
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0t120,10256.13612,5030.1497,104485.7407,55.1751266,11211.79287,-110469.0133,220948.0265,66005.17709,1761.59523,78.66462474,-114528.2825,229062.565,61379.95556,61379.95556,-115254.984,230511.968,-8114.538458,-9563.941437
g1,n10e4,constant,constant,n500,n200,rad10k,2change,all,10013.24617,9088.668175,102736.0778,98.74467435,10562.80438,-196528.8825,393067.7649,65162.80417,31393.84289,22.47010204,-201233.6775,402473.355,64176.20859,64176.20859,-201534.3923,403070.7845,-9405.59007,-10003.01956
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,10202.49231,11984.9917,102017.4062,13.67663968,10644.21096,-72045.76345,144101.5269,71752.89324,40.27858854,66.20540035,-73158.85788,146323.7158,64474.15807,64474.15807,-75851.60355,151705.2071,-2222.188877,-7603.680213
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0t120,10436.61125,29748.28124,102726.4074,61.62816481,11069.56741,-111266.1836,222542.3672,65778.86785,1839.947744,78.65421817,-114247.5738,228501.1476,61288.82873,61288.82873,-114933.0336,229868.0672,-5958.780393,-7325.699951
g1,n10e4,constant,constant,n500,n200,rad10k,2change,all,9973.223603,11570.7981,100723.2996,98.77957013,10034.40725,-196745.0224,393500.0448,65126.19697,11659.95033,54.90221057,-200302.5928,400611.1856,64153.50765,64153.50765,-200580.811,401163.6219,-7111.140779,-7663.577079
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,9690.098401,13476.02598,92270.46596,12.61493061,7912.279522,-72561.70201,145133.404,72661.08758,71.89890425,118.5646427,-72749.29539,145504.5908,64843.00791,64843.00791,-75569.07892,151140.1578,-371.1867626,-6006.753833
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0t120,10005.92647,10172.8913,94258.3737,62.24774403,8297.687349,-111137.2614,222284.5228,66115.89473,1286.071195,62.04351852,-113786.9547,227579.9093,61402.64201,61402.64201,-114542.7113,229087.4225,-5295.386517,-6802.899722
g1,n10e4,constant,constant,n500,n200,rad10k,2change,all,9484.213974,13499.36154,91809.38396,119.9917993,7676.446489,-197826.6058,395663.2116,65624.0852,17299.16194,40.49298131,-199378.8306,398763.6613,64532.47529,64532.47529,-199703.0977,399408.1954,-3100.449712,-3744.983841
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,10635.30215,5239.920502,111460.5404,14.43628761,13192.79744,-71909.75236,143829.5047,72696.9535,49.09528785,87.24743886,-72498.63793,145003.2759,64607.03297,64607.03297,-75368.55635,150739.1127,-1173.771143,-6909.607974
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0t120,9842.935271,6166.980645,103438.8665,49.44180298,10508.30786,-110375.9443,220761.8886,66068.01747,1622.508536,78.68905948,-113828.926,227663.8519,61161.47122,61161.47122,-114636.4193,229274.8387,-6901.963278,-8512.950033
g1,n10e4,constant,constant,n500,n200,rad10k,2change,all,10066.56706,11703.23911,105280.1878,119.9951867,10977.39418,-195892.6474,391795.2948,65205.7089,6868.379868,68.09291496,-200001.6781,400009.3562,64040.29991,64040.29991,-200377.1282,400756.2564,-8214.061361,-8960.961561
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0,10241.07686,24902.7974,96657.58432,13.39537344,9547.74958,-72312.40245,144634.8049,72267.751,75.23522742,119.9863609,-72866.69888,145739.3978,64701.35005,64701.35005,-75670.58659,151343.1732,-1104.592848,-6708.368269
g1,n10e4,constant,constant,n500,n200,rad10k,2change,t0t120,9749.51078,15555.81155,94370.4207,78.99622572,8553.243596,-110925.565,221861.13,65939.62259,1512.99545,78.82414568,-114563.8161,229133.6322,60543.14756,60543.14756,-115474.9936,230951.9872,-7272.502194,-9090.857151
g1,n10e4,constant,constant,n500,n200,rad10k,2change,all,9900.025958,13204.49322,95087.09845,119.9655896,8828.380146,-196901.238,393812.476,65387.97337,18703.68949,38.97996287,-200208.2812,400422.5625,64352.98535,64352.98535,-200507.6097,401017.2194,-6610.08644,-7204.743419
g1,n10e4,constant,constant,n500,n200,rad50k,2change,t0,10103.54626,8830.943686,101974.4551,13.54159808,10494.28052,-359945.873,719901.7459,73019.57536,36.12310696,66.28288423,-364289.2684,728584.5369,64904.37393,64904.37393,-378618.9328,757239.8656,-8682.790974,-37338.11969
g1,n10e4,constant,constant,n500,n200,rad50k,2change,t0t120,10035.30765,12358.69721,101127.386,68.64450547,10192.36572,-553657.9877,1107325.975,66157.02112,1623.454953,78.65078098,-571129.7403,1142265.481,61203.27927,61203.27927,-575192.0914,1150386.183,-34939.50516,-43060.20725
g1,n10e4,constant,constant,n500,n200,rad50k,2change,all,10144.23875,10525.12506,102007.6468,119.817952,10495.34127,-984545.4933,1969100.987,65428.03928,31518.10548,22.47153487,-1000969.45,2001944.901,64444.72089,64444.72089,-1002460.011,2004922.022,-32843.91395,-35821.0358
g1,n10e4,constant,constant,n500,n200,rad50k,2change,t0,9991.780174,16670.66203,102365.7977,12.97087009,10473.78847,-359429.5885,718869.1769,72459.04995,73.0673297,119.7649028,-363510.2406,727026.4812,64693.83593,64693.83593,-377697.1939,755396.3879,-8157.304244,-36527.21098
g1,n10e4,constant,constant,n500,n200,rad50k,2change,t0t120,10121.4734,9369.54899,102332.0993,61.49358716,10601.36664,-553440.4378,1106890.876,66082.36024,1664.214425,78.5789107,-570186.6752,1140379.35,61265.8378,61265.8378,-574081.1072,1148164.214,-33488.47469,-41273.33878
g1,n10e4,constant,constant,n500,n200,rad50k,2change,all,10002.03872,10699.64987,101557.0941,119.9579979,10310.09228,-983046.0019,1966102.004,65242.09108,31435.20455,22.12577771,-1000335.495,2000676.989,64222.64889,64222.64889,-1001952.892,2003907.785,-34574.98541,-37805.78068
g1,n10e4,constant,constant,n500,n200,rad50k,2change,t0,9860.956164,20955.07015,102206.7686,12.80476529,10208.86657,-360173.2902,720356.5805,72651.53127,38.39420593,66.27930191,-366614.7897,733235.5794,64964.99042,64964.99042,-380819.3539,761640.7077,-12878.9989,-41284.12727
g1,n10e4,constant,constant,n500,n200,rad50k,2change,t0t120,10174.10515,12302.951,103556.7973,51.95567698,10885.00125,-554296.7178,1108603.436,66215.11766,1595.487657,78.65988305,-574781.5583,1149569.117,61079.83736,61079.83736,-579026.9562,1158055.912,-40965.68099,-49452.47672
g1,n10e4,constant,constant,n500,n200,rad50k,2change,all,10182.07476,11171.42749,103016.3362,79.45531856,10745.68899,-983652.8286,1967315.657,65420.50599,30225.4605,22.5981222,-1008109.739,2016225.478,64272.24056,64272.24056,-1010035.307,2020072.614,-48909.8209,-52756.95669
g1,n10e4,constant,constant,n500,n200,rad50k,2change,t0,10120.42841,10460.59977,98832.18402,13.08745169,9733.231841,-362643.175,725296.35,72583.86965,72.61522622,119.9888786,-363964.1644,727934.3288,64757.14754,64757.14754,-378263.9449,756529.8899,-2637.978769,-31233.5399
g1,n10e4,constant,constant,n500,n200,rad50k,2change,t0t120,9715.891278,9347.515907,97174.00515,60.93481592,9055.431713,-557972.3425,1115954.685,66110.26519,1721.891709,78.66866421,-570506.2125,1141018.425,61415.3278,61415.3278,-574232.5905,1148467.181,-25063.74019,-32512.49606
g1,n10e4,constant,constant,n500,n200,rad50k,2change,all,10132.67724,9955.187699,98353.10793,10.00061025,9575.836099,-990896.8681,1981803.736,65340.58765,28786.55611,24.86642443,-1001832.941,2003671.883,64345.06898,64345.06898,-1003444.119,2006890.238,-21868.14669,-25086.50195
g1,n10e4,constant,constant,n500,n200,rad50k,2change,t0,10262.86053,5905.788784,103518.5671,13.29511427,11138.97318,-358083.2513,716176.5025,72242.57749,69.06679223,114.5535675,-362092.0089,724190.0178,64447.06507,64447.06507,-376304.6655,752611.3311,-8013.515263,-36434.82856
g1,n10e4,constant,constant,n500,n200,rad50k,2change,t0t120,10165.77323,10898.83787,102446.7733,62.54582384,10712.25364,-550301.8168,1100613.634,65708.95781,936.8227036,46.98033829,-567084.5088,1134175.018,61053.69891,61053.69891,-570765.8867,1141533.773,-33561.384,-40920.13973
g1,n10e4,constant,constant,n500,n200,rad50k,2change,all,10001.55882,10153.78984,101852.6327,10.0217814,10424.70255,-978414.223,1956838.446,65142.49364,7331.328071,69.03386036,-995651.8949,1991309.79,64048.22592,64048.22592,-997205.6969,1994413.394,-34471.34382,-37574.9479
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,9552.53707,64554.70571,98976.97317,106.4421563,9375.29258,-17934993.76,35869997.53,81575.56713,30.93212514,115.475746,-17920507.05,35841020.11,64422.8704,64422.8704,-18706562.34,37413126.68,28977.42256,-1543129.145
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,10007.23844,5536.5402,100143.548,58.51109573,10051.65741,-27523111.36,55046232.72,65330.24682,532.2828759,87.33570792,-28285696.21,56571398.43,64678.22722,64678.22722,-28332442.51,56664887.02,-1525165.704,-1618654.297
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,9965.800385,9861.323351,100012.4291,20.64079073,9989.982605,-47521144.33,95042298.67,64807.5955,920.5144786,118.8252662,-48193011.03,96386028.06,64640.97074,64640.97074,-48208838.82,96417679.63,-1343729.391,-1375380.964
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,9329.978729,115123.4598,99459.7087,106.7433529,9262.57822,-17892153.78,35784317.55,81363.91492,24.47478082,92.54700159,-17959632.41,35919270.82,64488.83506,64488.83506,-18740864.56,37481731.13,-134953.2638,-1697413.573
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,10043.93626,3314.144944,100628.018,59.9479377,10232.32213,-27510733.58,55021477.17,65325.6074,804.4612238,112.8243191,-28282312.92,56564631.84,64723.7676,64723.7676,-28321910.16,56643822.32,-1543154.669,-1622345.157
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,10296.80082,10651.50914,100923.6997,21.13942854,10631.02583,-47402139.6,94804289.21,65057.0568,1790.243549,74.20718365,-48300331.89,96600669.79,64722.88743,64722.88743,-48330767.99,96661537.98,-1796380.583,-1857248.769
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,9026.141513,302630.0996,98498.32687,105.9881938,8647.156897,-17975879.65,35951769.3,81739.45975,31.82680494,118.1990761,-17966801.83,35933609.66,64584.07767,64584.07767,-18753517.45,37507036.9,18159.63584,-1555267.61
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0t120,10024.49334,19416.58285,100879.8375,79.43215028,10177.57274,-27563910,55127830,65439.34223,771.3271162,112.8261976,-28334132.38,56668270.76,64814.98429,64814.98429,-28376545.65,56753093.3,-1540440.765,-1625263.305
g1,n10e4,constant,constant,n500,n20,wgs,2change,all,9992.725851,9481.092412,101696.3141,22.16181446,10293.27824,-47590161.81,95180333.63,65177.38505,2229.245649,70.38754069,-48337159.64,96674325.29,64861.82107,64861.82107,-48365135.52,96730273.04,-1493991.66,-1549939.414
g1,n10e4,constant,constant,n500,n20,wgs,2change,t0,10942.04114,4965.918035,104479.332,103.0432568,12103.23783,-17938052.32,35876114.63,81978.61058,30.83959079,115.3756866,-18003631.92,36007269.84,64723.96729,64723.96729,-18795422.02,37590846.04,-131155.2064,-1714731.404
